Name,Role,Topic
title ='Unit Testing Principles, Practices, and Patterns', date ='Jan 14, 2020', prize ='$47.49'}
title ='Selenium WebDriver 3 Practical Guide: End-to-end automation testing for web and mobile browsers with Selenium WebDriver, 2nd Edition', date ='Jul 31, 2018', prize ='$39.99'}
title ='Hands-On Automation Testing with Java for Beginners: Build automation testing frameworks from scratch with Java', date ='Sep 29, 2018', prize ='$29.99'}
title ='Continuous Delivery Blueprint: Software change management for enterprises in the era of cloud, microservices, DevOps, and automation.', date ='Sep 9, 2019', prize ='$24.00'}
title ='Accelerating Software Quality: Machine Learning and Artificial Intelligence in the Age of DevOps', date ='Sep 30, 2020', prize ='$4.99'}
title ='Site Reliability Engineering: How Google Runs Production Systems', date ='Apr 19, 2016', prize ='$27.99'}
title ='Stop Coding: Learn to test automate without coding and get that automation testing job', date ='Mar 3, 2018', prize ='$0.00'}
title ='Mobile Test Automation with Appium: Mobile application testing made easy', date ='Jun 30, 2017', prize ='$39.99'}
title ='Absolute Beginner (Part 1) Selenium WebDriver for Functional Automation Testing: Your Beginners Guide', date ='Jul 20, 2016', prize ='$0.00'}
title ='PowerShell for Sysadmins: Workflow Automation Made Easy', date ='Feb 4, 2020', prize ='$17.99'}
title ='(Part 1) You Must Learn VBScript for QTP/UFT: Don't Ignore The Language For Functional Automation Testing', date ='Dec 19, 2015', prize ='$0.00'}
title ='Science of Selenium: Master Web UI Automation and Create Your Own Test Automation Framework (English Edition)', date ='Dec 10, 2019', prize ='$34.95'}
title ='Implementing Automated Software Testing: How to Save Time and Lower Costs While Raising Quality: How to Save Time and Lower Costs While Raising Quality', date ='Mar 14, 2009', prize ='$49.43'}
title ='Bug Bounty Automation With Python: The secrets of bug hunting', date ='Aug 17, 2020', prize ='$0.00'}
title ='Cybersecurity Ops with bash: Attack, Defend, and Analyze from the Command Line', date ='Apr 20, 2019', prize ='$39.49'}
title ='The Agile Software Tester: Software testing in the agile world: Revision 6', date ='Dec 6, 2018', prize ='$11.99'}
title ='Practical Vulnerability Management', date ='Sep 29, 2020', prize ='$29.95'}
title ='Java For Testers: Learn Java fundamentals fast', date ='Aug 6, 2015', prize ='$19.99'}
title ='Selenium WebDriver Quick Start Guide: Write clear, readable, and reliable tests with Selenium WebDriver 3', date ='Oct 30, 2018', prize ='$29.99'}
title ='Absolute Beginner (Part 1) Java 4 Selenium WebDriver: Come Learn How To Program For Automation Testing', date ='Mar 6, 2016', prize ='$7.97'}
title ='(Part 2) You Must Learn VBScript for QTP/UFT: Don't Ignore The Language For Functional Automation Testing (Black & White Edition)', date ='Jan 15, 2016', prize ='$13.97'}
title ='Test Automation using Selenium Webdriver 3.0 with C#', date ='Oct 1, 2018', prize ='$46.93'}
title ='Learning Robotic Process Automation: Create Software robots and automate business processes with the leading RPA tool - UiPath: Create Software robots ... with the leading RPA tool – UiPath', date ='Mar 28, 2018', prize ='$31.19'}
title ='Modern System Administration: Building and Maintaining Reliable Systems', date ='Dec 8, 2020', prize ='$59.99'}
title ='Debugging: The 9 Indispensable Rules for Finding Even the Most Elusive Software and Hardware Problems', date ='Nov 5, 2006', prize ='$13.59'}
title ='User Stories Applied: For Agile Software Development', date ='Mar 11, 2004', prize ='$39.59'}
title ='Practical Binary Analysis: Build Your Own Linux Tools for Binary Instrumentation, Analysis, and Disassembly', date ='Dec 11, 2018', prize ='$29.99'}
title ='Implementing Microsoft Dynamics 365 for Finance and Operations Apps: Learn best practices, architecture, tools, techniques, and more, 2nd Edition', date ='Mar 6, 2020', prize ='$44.99'}
title ='Operations Anti-Patterns, DevOps Solutions', date ='Nov 24, 2020', prize ='$46.97'}
title ='Effective Computation in Physics: Field Guide to Research with Python', date ='Jul 5, 2015', prize ='$44.99'}
title ='Implementing Azure DevOps Solutions: Learn about Azure DevOps Services to successfully apply DevOps strategies', date ='Jun 11, 2020', prize ='$44.99'}
